	event	proportion
01CO001	False	0.0
01CO005	False	0.0
01CO006	False	0.0
01CO008	False	0.0
01CO013	True	1.0
01CO014	False	0.0
01CO015	True	1.0
01CO019	False	0.7585720751068001
01CO022	False	0.0
05CO002	True	1.0
05CO003	False	0.0
05CO005	False	0.45987136442354165
05CO006	True	1.0
05CO007	False	0.0
05CO011	True	1.0
05CO014	False	0.0
05CO015	False	0.0
05CO020	False	0.0
05CO026	False	0.0
05CO028	True	0.9644746237284683
05CO029	False	0.0
05CO032	False	0.0
05CO033	False	0.0
05CO034	True	1.0
05CO035	True	1.0
05CO037	False	0.0
05CO039	True	0.8259443820417977
05CO041	False	0.0
05CO044	False	0.0
05CO045	False	0.0
05CO047	False	0.0
05CO048	True	1.0
05CO049	False	0.0
05CO050	False	0.0
05CO053	False	0.0
05CO054	False	0.0
05CO055	True	1.0
06CO001	True	0.9992881319126737
06CO002	False	0.5964277459243007
09CO005	False	0.0
09CO006	False	0.0
09CO008	True	0.9113939666024619
09CO011	False	0.0
09CO013	False	0.0
09CO014	False	0.0
09CO015	True	1.0
09CO018	False	0.0
09CO019	False	0.0
09CO022	True	1.0
11CO005	False	0.0
11CO007	False	0.0
11CO008	False	0.590138619502114
11CO010	False	0.0
11CO018	False	0.0
11CO019	False	0.0
11CO020	True	1.0
11CO021	False	0.0
11CO022	True	1.0
11CO027	False	0.0
11CO030	True	1.0
11CO031	False	0.0
11CO032	False	0.0
11CO033	False	0.0
11CO036	False	0.0
11CO037	True	0.999254877051851
11CO039	True	1.0
11CO042	True	0.998614372501934
11CO043	False	0.0
11CO044	True	1.0
11CO045	False	0.0
11CO047	True	1.0
11CO048	False	0.0
11CO051	False	0.0
11CO052	False	0.0
11CO053	False	0.7442098085012866
11CO054	False	0.0
11CO057	True	1.0
11CO058	False	0.0
11CO059	False	0.0
11CO060	True	1.0
11CO061	False	0.0
11CO062	False	0.0
11CO070	False	0.0
11CO072	False	0.7770539369449009
11CO077	False	0.0
11CO079	False	0.02915861368848728
14CO002	True	1.0
14CO003	False	0.0
14CO005	True	1.0
15CO001	False	0.0
15CO002	False	0.6771300248629868
16CO002	True	1.0
16CO003	True	1.0
16CO006	False	0.0
16CO011	False	0.0
16CO012	True	1.0
20CO001	False	0.0
20CO003	False	0.0
20CO004	True	0.998744330307589
20CO007	False	0.0
21CO006	True	1.0
21CO007	True	1.0
22CO004	True	1.0
22CO006	False	0.0
24CO005	True	1.0
27CO004	True	1.0
