	event	proportion
11LU013	True	1.0
11LU016	False	0.0
11LU022	False	0.0
11LU035	False	0.3304430157082323
C3L-00001	True	1.0
C3L-00009	False	0.0
C3L-00080	True	0.8517970678182543
C3L-00083	False	0.0
C3L-00093	False	0.75750006349872
C3L-00094	False	0.0
C3L-00095	False	0.0
C3L-00140	False	0.0
C3L-00144	False	0.0
C3L-00263	False	0.0
C3L-00279	False	0.0
C3L-00368	False	0.0
C3L-00412	False	0.0
C3L-00422	False	0.0
C3L-00510	False	0.0
C3L-00604	False	0.0
C3L-00893	False	0.0
C3L-00913	False	0.0
C3L-00973	False	0.0
C3L-01330	True	0.9987012755406713
C3L-01632	False	0.0
C3L-01682	False	0.0
C3L-01683	False	0.0
C3L-01862	False	0.0
C3L-01889	False	0.0
C3L-01924	True	1.0
C3L-02219	False	0.5655602397495503
C3L-02345	True	0.9957580152948151
C3L-02348	False	0.0
C3L-02350	False	0.0
C3L-02365	True	1.0
C3L-02508	False	0.0
C3L-02549	False	0.0
C3N-00167	True	0.987161585598166
C3N-00169	True	1.0
C3N-00175	False	0.0
C3N-00180	False	0.0
C3N-00199	False	0.0
C3N-00203	True	0.9486367230120982
C3N-00217	True	0.9789580373437323
C3N-00223	True	0.9933218801457606
C3N-00293	False	0.0
C3N-00294	False	0.0
C3N-00433	False	0.0
C3N-00545	False	0.0
C3N-00546	True	1.0
C3N-00547	False	0.0
C3N-00549	False	0.0
C3N-00550	False	0.0
C3N-00551	True	1.0
C3N-00552	False	0.0
C3N-00556	True	0.9975688907070839
C3N-00559	True	1.0
C3N-00560	False	0.6770076268717936
C3N-00572	False	0.0
C3N-00574	True	1.0
C3N-00578	True	0.9969183936066787
C3N-00579	False	0.0
C3N-00580	True	0.8606593274755989
C3N-00704	False	0.3328741250011484
C3N-00737	False	0.0
C3N-00738	False	0.0
C3N-00959	False	0.0
C3N-01016	False	0.0
C3N-01021	True	1.0
C3N-01023	False	0.33352462210155365
C3N-01024	True	0.9159040245218546
C3N-01030	False	0.0
C3N-01071	False	0.0
C3N-01072	False	0.0
C3N-01074	False	0.0
C3N-01405	False	0.0
C3N-01410	False	0.21192089842852826
C3N-01413	False	0.0
C3N-01414	False	0.0
C3N-01415	True	0.9765269280508163
C3N-01416	False	0.0
C3N-01488	False	0.0
C3N-01489	False	0.0
C3N-01799	False	0.0
C3N-01823	False	0.0
C3N-01842	True	1.0
C3N-02000	True	1.0
C3N-02002	True	1.0
C3N-02003	False	0.0
C3N-02067	True	1.0
C3N-02087	False	0.0
C3N-02089	False	0.0
C3N-02145	True	1.0
C3N-02149	False	0.0
C3N-02155	False	0.0
C3N-02158	False	0.0
C3N-02379	True	0.9953025538374574
C3N-02380	False	0.0
C3N-02421	True	0.9962701662477552
C3N-02422	False	0.0
C3N-02423	False	0.0
C3N-02424	False	0.0
C3N-02433	True	1.0
C3N-02529	True	0.8924309525726709
C3N-02572	True	0.9998279319790903
C3N-02582	True	1.0
C3N-02586	False	0.0
C3N-02587	False	0.0
C3N-02588	False	0.0
C3N-02729	False	0.751910068519172
